"count_ordinaries","count_outstanding","total_members","contains_outstd"
573,86,659,contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
"1,297",186,"1,483",contains_outstd
1,0,1,dont_contains_outstd
226,39,265,contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
210,20,230,contains_outstd
1,1,2,contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
290,58,348,contains_outstd
2,0,2,dont_contains_outstd
0,1,1,contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
"2,059",403,"2,462",contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
328,91,419,contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
"1,506",547,"2,053",contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
"2,298",299,"2,597",contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
691,55,746,contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
578,78,656,contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
